id;nome;email;valor_compra;dominio_email
2056;Vitória da Cruz;ralbuquerque@example.com;4018,67;example.com
2057;Breno Ferreira;lorena36@example.net;1305,04;example.net
2058;Gustavo Henrique Pinto;lucas-gabriel40@example.net;6500,05;example.net
2059;Larissa Azevedo;asousa@example.com;5512,53;example.com
2060;Otávio Sampaio;hrocha@example.com;3233,83;example.com
2061;Emanuelly Pires;olivia88@example.net;7273,02;example.net
2062;Gustavo Henrique da Mata;otto79@example.net;2442,0;example.net
2063;Maria Clara Sampaio;acunha@example.com;8211,91;example.com
2064;Dr. Kaique Siqueira;erickcasa-grande@example.com;4691,11;example.com
2065;Emilly Pereira;kmacedo@example.com;1165,03;example.com
2066;Fernando Aparecida;dvasconcelos@example.org;9721,21;example.org
2067;Sophie Pires;lauralima@example.com;7163,32;example.com
2068;Josué Cavalcante;jose-pedro02@example.com;3712,09;example.com
2069;Nathan Abreu;cassianoaugusto@example.com;4365,29;example.com
2070;Dr. João Lima;luiz-miguel25@example.com;7080,34;example.com
2071;Emanuella da Luz;rafaelgarcia@example.org;4880,54;example.org
2072;Rebeca Borges;casa-grandegiovanna@example.org;8592,94;example.org
2073;Rodrigo Nunes;isabelly96@example.net;6315,68;example.net
2074;Ian Vasconcelos;marcelo67@example.org;4563,44;example.org
2075;Maria Isis Guerra;ayla67@example.org;9215,45;example.org
2076;Diego Fernandes;raul13@example.org;8060,75;example.org
2077;Heloisa Borges;gael91@example.org;9273,82;example.org
2078;Maria Fernanda Pinto;ida-cunha@example.org;3304,72;example.org
2079;Vinícius Castro;pietra74@example.org;3088,75;example.org
2080;Catarina Vasconcelos;da-motadante@example.com;2414,65;example.com
2081;Isabella Pinto;rcirino@example.com;3846,32;example.com
2082;Ísis Araújo;vinicius46@example.com;8215,34;example.com
2083;Renan da Rosa;sarah21@example.net;5114,31;example.net
2084;Rodrigo Cassiano;gabrielcarvalho@example.com;8466,76;example.com
2085;Laura Freitas;yagoda-cunha@example.org;5392,84;example.org
2086;Olívia Rezende;camargomurilo@example.org;4589,52;example.org
2087;Dr. João Gabriel Cardoso;ipimenta@example.org;7704,44;example.org
2088;Sr. Mathias Camargo;cassianomaria@example.org;1970,22;example.org
2089;Luiz Henrique da Rocha;laiscarvalho@example.com;8623,03;example.com
2090;Mirella Cunha;moreiratheodoro@example.net;9743,52;example.net
2091;Maria Vitória Santos;luna71@example.net;7160,36;example.net
2092;Valentina Nunes;renancardoso@example.net;7123,49;example.net
2093;Joaquim Vasconcelos;ana-carolina13@example.net;2105,35;example.net
2094;Dra. Marina Freitas;iferreira@example.com;6617,07;example.com
2095;Srta. Agatha Lima;joao-vitor50@example.com;7623,8;example.com
2096;Pedro Miguel Nascimento;luisa66@example.net;2441,23;example.net
2097;Pedro Costela;heitorpires@example.org;1503,44;example.org
2098;Emilly Souza;rmacedo@example.com;7257,08;example.com
2099;Bárbara Jesus;andreferreira@example.org;8475,1;example.org
2100;Olivia Almeida;miguelda-rocha@example.com;7530,59;example.com
2101;Allana Vieira;da-matacarolina@example.net;7795,41;example.net
2102;Dra. Maria Liz Correia;natalia48@example.org;8560,08;example.org
2103;Maria Laura Nogueira;kaique09@example.com;8363,17;example.com
2104;Dra. Lívia Moura;luiz-gustavo16@example.com;7980,08;example.com
2105;Maysa Montenegro;levisousa@example.org;3456,24;example.org
2106;Caroline Barros;hrocha@example.net;5846,7;example.net
2107;Sabrina Souza;gabriellima@example.com;5952,96;example.com
2108;Maysa Casa Grande;sophia32@example.net;2496,84;example.net
2109;Beatriz Vieira;davi-miguel41@example.net;6887,01;example.net
2110;Juliana Siqueira;heitor29@example.com;5187,17;example.com
2111;Dra. Joana Araújo;drios@example.com;9994,63;example.com
2112;Sr. Samuel Almeida;silveirakaique@example.org;6315,99;example.org
2113;Luana Rodrigues;macedoclara@example.com;9154,2;example.com
2114;Maria Eduarda Pastor;ravy02@example.net;4074,72;example.net
2115;Sra. Letícia Andrade;theolopes@example.com;9988,84;example.com
2116;Sr. João Vitor Peixoto;levi61@example.net;5648,02;example.net
2117;Vitória Nunes;uaraujo@example.net;5537,56;example.net
2118;Fernanda Pinto;lda-mata@example.net;1007,82;example.net
2119;Maysa Nunes;vieirajose-miguel@example.org;6902,34;example.org
2120;Vitor Gabriel Sousa;wpimenta@example.org;1078,18;example.org
2121;Joana da Costa;maria-juliafarias@example.net;9805,23;example.net
2122;Dra. Maria Alice Freitas;pietra59@example.net;2059,64;example.net
2123;Emanuella Peixoto;enrico60@example.net;9058,31;example.net
2124;Sr. Augusto Cavalcanti;luara63@example.org;7184,65;example.org
2125;Júlia Cavalcante;nviana@example.com;2692,25;example.com
2126;Camila Almeida;vda-costa@example.com;5929,69;example.com
2127;Luiza Barros;josuepimenta@example.org;3488,32;example.org
2128;Sara Nogueira;lfernandes@example.net;6684,85;example.net
2129;Srta. Sabrina Nunes;xandrade@example.com;9514,26;example.com
2130;Laura Pacheco;raquel70@example.net;5645,43;example.net
2131;Aurora Carvalho;ymendonca@example.org;5954,46;example.org
2132;Sra. Bella Santos;nuneslucas@example.org;3201,85;example.org
2133;Alana Farias;vitor-gabriel79@example.com;4126,11;example.com
2134;Marina Fogaça;fpastor@example.net;1552,87;example.net
2135;Maria Helena Câmara;lunna28@example.org;8208,23;example.org
2136;Maria Aparecida;novaisravi@example.org;9422,24;example.org
2137;Laura Sampaio;zmoreira@example.org;5510,42;example.org
2138;Maria Eduarda Ferreira;cassianohadassa@example.com;3576,08;example.com
2139;Isabela Leão;rsousa@example.org;1450,6;example.org
2140;João Lucas Barbosa;vargasvitoria@example.net;9082,47;example.net
2141;Diego Cardoso;leaocecilia@example.com;9543,77;example.com
2142;Paulo Novais;pietrateixeira@example.com;4586,87;example.com
2143;Ravi Freitas;apolloda-conceicao@example.com;6757,71;example.com
2144;Augusto Sampaio;maria-luizacastro@example.org;4194,13;example.org
2145;Kaique Ramos;cvasconcelos@example.com;3869,33;example.com
2146;Ryan Azevedo;da-cunharodrigo@example.org;6564,69;example.org
2147;Antônio Vasconcelos;santosdanilo@example.com;8844,3;example.com
2148;Felipe da Rosa;josue95@example.com;1045,13;example.com
2149;Srta. Bárbara Viana;garciastephany@example.com;9214,91;example.com
2150;Heloísa Araújo;camposmateus@example.org;2223,7;example.org
2151;Sr. Vitor Gabriel Porto;sarah83@example.com;9454,49;example.com
2152;Benício da Mota;bpacheco@example.org;5372,93;example.org
2153;Calebe Gonçalves;correialuiza@example.org;6782,15;example.org
2154;Théo Borges;brendavieira@example.com;5948,09;example.com
2155;Nina Gomes;tfernandes@example.com;1854,54;example.com
2156;Breno Albuquerque;marcelada-costa@example.com;1144,08;example.com
2157;Luiz Henrique da Rosa;vianahenry-gabriel@example.org;2168,75;example.org
2158;Maria Julia Souza;vitor-gabrielaragao@example.net;9436,86;example.net
2159;Vinicius Marques;liz71@example.com;7649,26;example.com
2160;Bianca da Mata;thalesrezende@example.com;7113,66;example.com
2161;Ana Julia Almeida;scampos@example.net;8719,88;example.net
2162;Luigi Azevedo;melina63@example.com;5744,56;example.com
2163;Laís Borges;clara71@example.net;1347,99;example.net
2164;Allana Novaes;rezendeandre@example.net;6975,15;example.net
2165;Ana da Costa;nogueiranathan@example.com;5198,42;example.com
2166;Felipe Macedo;gmartins@example.com;8277,35;example.com
2167;Ayla Rodrigues;julia04@example.org;8831,26;example.org
2168;Enrico Guerra;ayla03@example.org;3621,54;example.org
2169;Joaquim da Cunha;liam02@example.org;5121,31;example.org
2170;Maria Cecília Siqueira;joao-vitoralmeida@example.com;1297,71;example.com
2171;Maria Flor Melo;esther53@example.org;6127,28;example.org
2172;Yago Sousa;lpacheco@example.org;4808,01;example.org
2173;Valentim Costa;bcunha@example.net;7495,75;example.net
2174;Ana Júlia Barros;cirinomaria-eduarda@example.org;2423,51;example.org
2175;Dra. Maria Luiza da Mota;wcavalcante@example.org;1636,35;example.org
2176;Pedro da Cunha;csilva@example.org;4494,55;example.org
2177;Melissa Siqueira;joao-guilherme29@example.com;4107,82;example.com
2178;Olívia Viana;silveiraluiz-otavio@example.net;4717,56;example.net
2179;Kamilly Dias;rafaelalopes@example.com;8623,29;example.com
2180;Theo Costa;leandro77@example.org;1491,99;example.org
2181;Srta. Pietra Cavalcante;dguerra@example.org;6122,31;example.org
2182;Marina Moreira;pastorester@example.org;3071,09;example.org
2183;Henrique Pacheco;vargasmaria-julia@example.net;4503,96;example.net
2184;Isabel da Cunha;albuquerquejoao-gabriel@example.org;4730,8;example.org
2185;Vinicius Siqueira;ester95@example.org;4021,4;example.org
2186;Matheus Guerra;fernandeslavinia@example.net;6130,94;example.net
2187;Ana Liz Campos;renan62@example.com;9835,06;example.com
2188;Pietro Nogueira;saluiz-fernando@example.com;5611,33;example.com
2189;Ester Farias;bellasouza@example.net;2115,03;example.net
2190;Srta. Ana Lívia Freitas;qnovais@example.net;9359,0;example.net
2191;Augusto Abreu;carlos-eduardofonseca@example.org;2116,37;example.org
2192;Lucca Gonçalves;vieirathales@example.org;2473,63;example.org
2193;Cecília Andrade;kda-rocha@example.com;8910,46;example.com
2194;Sr. Renan Fernandes;ana-liz91@example.net;9498,54;example.net
2195;Sr. Nicolas Sá;muriloaragao@example.com;8063,17;example.com
2196;José Pedro Nunes;gomesana-vitoria@example.net;6078,89;example.net
2197;Vinícius Rocha;thomas45@example.com;2888,67;example.com
2198;Bruna Vasconcelos;nathan89@example.net;1096,89;example.net
2199;Erick Cunha;josue82@example.com;7870,32;example.com
2200;Ana Liz Silveira;ana-luizacamara@example.org;5204,38;example.org
2201;Aylla da Paz;lucca88@example.com;4663,32;example.com
2202;Ágatha Jesus;emanuel26@example.com;4442,15;example.com
2203;Mirella Aparecida;bentorodrigues@example.com;1863,21;example.com
2204;Olívia Abreu;ana-lauracassiano@example.org;7910,52;example.org
2205;Julia Pacheco;joao64@example.org;7376,29;example.org
2206;Ágatha Garcia;enzo-gabrielalbuquerque@example.com;7037,15;example.com
2207;Ana Laura Lopes;uferreira@example.org;5769,22;example.org
2208;Bento Farias;gcaldeira@example.net;5437,39;example.net
2209;Luiza Rios;andre13@example.com;6949,63;example.com
2210;Maria Luísa Nogueira;casa-grandemaria-isis@example.net;2954,21;example.net
2211;Evelyn Cassiano;silvaliam@example.net;7870,43;example.net
2212;Dr. Benicio Pereira;amontenegro@example.org;8063,78;example.org
2213;Aurora Vasconcelos;saaurora@example.org;1389,46;example.org
2214;Ágatha Leão;bruno69@example.org;3507,03;example.org
2215;Emanuelly Silveira;camila86@example.com;6687,83;example.com
2216;Ana Júlia Aragão;cavalcantilucca@example.com;2146,5;example.com
2217;Gustavo Nascimento;usilva@example.com;5504,13;example.com
2218;Julia Sales;davi-luizda-conceicao@example.net;4675,73;example.net
2219;Olivia Vieira;guerraeloa@example.net;4006,03;example.net
2220;Sofia Rocha;sophie76@example.com;8040,37;example.com
2221;Marcela Borges;luiz-gustavobarros@example.com;7512,62;example.com
2222;Isabelly Dias;vasconcelosyago@example.net;4515,46;example.net
2223;Letícia Casa Grande;lmacedo@example.net;2366,66;example.net
2224;Emilly Macedo;bella32@example.com;2891,65;example.com
2225;Joana Andrade;joao-pedrobarbosa@example.net;7080,88;example.net
2226;Anna Liz Rocha;salmeida@example.com;4010,82;example.com
2227;Pedro Miguel Rocha;silveiraana-sophia@example.net;7909,76;example.net
2228;Bruna Peixoto;zda-costa@example.org;1697,24;example.org
2229;Augusto Pimenta;yagobarros@example.com;1862,54;example.com
2230;Pedro Lucas Castro;maria-isis87@example.com;1705,19;example.com
2231;Dr. Enzo Araújo;elisasa@example.org;6050,23;example.org
2232;Diogo Gonçalves;thiagosiqueira@example.org;2655,1;example.org
2233;Sra. Gabrielly Sousa;ycarvalho@example.com;5990,03;example.com
2234;Maya Ribeiro;zviana@example.org;9877,8;example.org
2235;Dr. Ravi Sampaio;marquestheo@example.org;8839,29;example.org
2236;Maria Alice Moreira;dda-conceicao@example.org;1086,09;example.org
2237;Nathan Albuquerque;abreuemanuella@example.net;1224,76;example.net
2238;André Mendonça;xcassiano@example.com;7770,21;example.com
2239;Ana Clara Lima;luiza17@example.org;6404,89;example.org
2240;Henrique Ferreira;aporto@example.org;8576,48;example.org
2241;Milena Porto;diasbento@example.com;6506,39;example.com
2242;Vinícius Pinto;cmontenegro@example.com;5118,42;example.com
2243;Asafe Caldeira;mendesmateus@example.com;6744,67;example.com
2244;Dr. Bruno Novaes;onunes@example.com;6883,12;example.com
2245;Antony Silveira;martinsmaite@example.com;8708,32;example.com
2246;Nicolas Cavalcanti;rhavi02@example.org;5482,65;example.org
2247;Isabela Casa Grande;soliveira@example.net;1167,6;example.net
2248;Maria Helena Garcia;oliverda-luz@example.net;6685,22;example.net
2249;Dra. Eloah Pastor;mathias59@example.com;5613,65;example.com
2250;Henry Gabriel Barros;borgesbeatriz@example.org;1869,98;example.org
2251;Maya Costela;piresmilena@example.org;2836,88;example.org
2252;Ana Julia Oliveira;vda-mota@example.net;8505,7;example.net
2253;Clarice Aparecida;diogomachado@example.org;2430,67;example.org
2254;Dra. Jade Sá;franciscomoura@example.org;1495,32;example.org
2255;Cauã Porto;nataliaazevedo@example.com;1813,0;example.com
2256;Otávio Pacheco;araujojosue@example.net;1276,91;example.net
2257;Luiz Otávio Barbosa;vargasluiz-henrique@example.net;4105,05;example.net
2258;Luana Brito;nogueirarafael@example.org;9947,44;example.org
2259;Dr. Henry Gabriel Rezende;paulocosta@example.net;1422,33;example.net
2260;Maria Flor Fernandes;henriquedas-neves@example.org;4107,62;example.org
2261;Maria Liz Fonseca;rochapedro-lucas@example.org;6080,18;example.org
2262;Isabella Novaes;cavalcantibenicio@example.org;2987,71;example.org
2263;João Pedro Cirino;lmoura@example.org;2652,68;example.org
2264;João Brito;isis15@example.org;8058,09;example.org
2265;Anthony Gabriel Pereira;costamaria-clara@example.net;7066,82;example.net
2266;Luísa Moura;aparecidaravi-lucca@example.com;7919,64;example.com
2267;Letícia Carvalho;tgoncalves@example.net;3040,02;example.net
2268;Melina das Neves;aragaojoao-felipe@example.com;9997,86;example.com
2269;Dra. Maya Araújo;qaparecida@example.net;8798,99;example.net
2270;Lucas Macedo;ncaldeira@example.com;8078,27;example.com
2271;Luiz Miguel Moreira;lorena95@example.net;7439,99;example.net
2272;Valentim Azevedo;jose-miguelcirino@example.com;6869,81;example.com
2273;Liz Cassiano;pmoreira@example.com;7966,37;example.com
2274;Melissa Fernandes;azevedoandre@example.org;1474,52;example.org
2275;Raul Abreu;isabellamacedo@example.net;3382,23;example.net
2276;Manuella Gonçalves;limamaria-liz@example.net;3849,76;example.net
2277;Noah Porto;joao-gabriel25@example.org;8055,16;example.org
2278;João da Rosa;anna-liz71@example.net;9835,99;example.net
2279;Hadassa Cardoso;ana-lauravieira@example.net;8758,48;example.net
2280;Valentina da Conceição;souzajoao-guilherme@example.org;4052,59;example.org
2281;Nicolas da Mata;bellabrito@example.com;4967,71;example.com
2282;João Vitor da Mata;cirinoesther@example.net;2501,85;example.net
2283;Cauã Ramos;rda-luz@example.net;9410,55;example.net
2284;Isis Costela;lopesrhavi@example.org;1973,69;example.org
2285;Juliana Novais;diasrafaela@example.net;7435,15;example.net
2286;Kamilly Sá;pedro-miguel80@example.net;4286,58;example.net
2287;Augusto Moraes;josuecamargo@example.org;9256,18;example.org
2288;Benjamim Aparecida;lucas90@example.com;4560,03;example.com
2289;Isabela Guerra;yda-cruz@example.net;2280,04;example.net
2290;Mirella Santos;sandrade@example.org;9354,7;example.org
2291;Gustavo Henrique Guerra;kbrito@example.org;4242,23;example.org
2292;Srta. Ana Julia Pereira;duartejose-miguel@example.com;6390,57;example.com
2293;Stephany Costa;maria96@example.org;2615,58;example.org
2294;Ana Sophia Costela;novaislevi@example.net;3769,09;example.net
2295;Manuella Novais;ana-luiza94@example.com;3426,19;example.com
2296;Isabela Rios;da-rochamurilo@example.net;8701,4;example.net
2297;Nina Borges;lara48@example.org;5025,62;example.org
2298;Luiz Gustavo Machado;peixotomanuela@example.com;1653,22;example.com
2299;Sra. Mariana Rios;ana-juliaferreira@example.com;4758,0;example.com
2300;Isabel da Paz;thomasda-cunha@example.net;9055,21;example.net
2301;Elisa Teixeira;novaisbianca@example.com;5276,24;example.com
2302;Laura Rocha;moreiraantony@example.net;6079,6;example.net
2303;Ryan Azevedo;gpires@example.org;7119,21;example.org
2304;Ana Vitória Marques;gvasconcelos@example.net;8975,12;example.net
2305;Kevin Freitas;ymoura@example.com;7730,15;example.com
2306;Luiza da Paz;hda-cruz@example.net;3435,66;example.net
2307;Dr. Marcelo da Cruz;cirinosophia@example.net;1823,36;example.net
2308;Isaac Vargas;rda-cruz@example.net;4254,68;example.net
2309;Lucas Jesus;barrosmariah@example.com;9335,54;example.com
2310;Milena Abreu;jcassiano@example.org;4043,41;example.org
2311;Sara Ribeiro;ivargas@example.com;7691,01;example.com
2312;Thales Garcia;brenda65@example.com;1301,71;example.com
2313;Maria Sophia Costela;martinsmanuela@example.com;1578,53;example.com
2314;Rafael da Costa;luccamendes@example.com;5228,08;example.com
2315;João Pedro Ferreira;caleb81@example.net;9200,0;example.net
2316;Eloah Sampaio;sophiecostela@example.net;1994,79;example.net
2317;Alana Silva;theodororamos@example.com;5437,68;example.com
2318;Samuel Cirino;calebe50@example.com;2250,11;example.com
2319;Alexandre Cirino;nda-rocha@example.net;2571,54;example.net
2320;Liz Peixoto;melohadassa@example.org;6104,03;example.org
2321;Helena Cirino;silvaliz@example.net;2088,58;example.net
2322;Ester Araújo;lorenapinto@example.com;3527,65;example.com
2323;Isaque Rezende;dda-rosa@example.com;3103,74;example.com
2324;Isabella Vieira;diasana-clara@example.com;4971,07;example.com
2325;Emanuella Farias;da-rochahenry-gabriel@example.com;8085,71;example.com
2326;Dr. Guilherme Ribeiro;wda-mota@example.org;4009,99;example.org
2327;Stella da Conceição;pereiradavi-miguel@example.org;2606,91;example.org
2328;Kamilly Camargo;kaiqueguerra@example.net;8663,54;example.net
2329;Maitê da Mota;isabela74@example.net;5867,68;example.net
2330;Dra. Ana Carolina Borges;gsiqueira@example.com;3330,4;example.com
2331;Leandro Nogueira;allanajesus@example.net;6957,46;example.net
2332;Maria Clara Machado;kborges@example.org;8626,4;example.org
2333;Dr. Valentim Sousa;gael-henrique88@example.com;5420,56;example.com
2334;Maria Liz da Rocha;goncalvesmiguel@example.org;8714,21;example.org
2335;Rebeca Pires;maria-clara54@example.org;8123,31;example.org
2336;João Felipe Mendes;da-conceicaobernardo@example.org;1175,76;example.org
2337;Srta. Ágatha Carvalho;leonardo23@example.com;1763,18;example.com
2338;Maria Clara Vasconcelos;breno84@example.net;7885,77;example.net
2339;Luiz Miguel da Rosa;teixeiraluigi@example.net;4863,36;example.net
2340;Sofia Aparecida;carolina26@example.org;8188,96;example.org
2341;Vitor Peixoto;vitor-gabrielcarvalho@example.net;7923,92;example.net
2342;Leonardo Novais;brunaribeiro@example.com;7401,55;example.com
2343;Gabriel Cunha;gael94@example.net;9236,27;example.net
2344;Srta. Eloah Silva;goncalvesemilly@example.org;3080,57;example.org
2345;Luan Fonseca;umartins@example.net;7023,01;example.net
2346;Helena Nunes;scastro@example.org;3059,77;example.org
2347;Sr. Asafe Fernandes;ana-beatrizmarques@example.com;1681,09;example.com
2348;Davi Lucca Rodrigues;jmendonca@example.net;9787,56;example.net
2349;Hadassa Aragão;rda-rocha@example.net;1990,44;example.net
2350;Dra. Larissa Teixeira;vinicius20@example.org;9645,84;example.org
2351;Ian Abreu;mariana92@example.org;5938,22;example.org
2352;Leonardo Moura;agathaaparecida@example.net;3152,91;example.net
2353;Maria Clara Pacheco;wfonseca@example.net;9338,95;example.net
2354;Dra. Ágatha Barros;jporto@example.net;4220,7;example.net
2355;Catarina Moreira;arthur-miguel19@example.org;5258,2;example.org
2356;Lucca Borges;srezende@example.net;5475,7;example.net
2357;Emilly Casa Grande;ccostela@example.com;8320,23;example.com
2358;Luan Viana;marcos-vinicius88@example.org;5747,82;example.org
2359;Maria Isis Sá;araujolucas@example.net;6741,6;example.net
2360;Luiz Felipe da Mata;fmachado@example.net;9897,38;example.net
2361;Rhavi Câmara;araujoluiz-miguel@example.net;7831,64;example.net
2362;Isis Guerra;da-motahelena@example.net;8811,95;example.net
2363;Raul Pacheco;enzo-gabrielmoura@example.org;1675,68;example.org
2364;Olivia Câmara;ferreiraantonio@example.com;4504,21;example.com
2365;André Sá;vianasophia@example.org;5177,13;example.org
2366;Marcelo Pimenta;csales@example.net;3461,63;example.net
2367;Maria Laura Gomes;juan93@example.net;1477,08;example.net
2368;Srta. Mariah Abreu;luarapeixoto@example.net;7380,68;example.net
2369;Eduardo Pereira;julia53@example.com;5845,28;example.com
2370;Eduardo Pinto;avasconcelos@example.com;1694,04;example.com
2371;Ana Júlia da Cruz;lorenzosales@example.com;3629,31;example.com
2372;Francisco Cunha;ecassiano@example.com;5183,57;example.com
2373;Nathan da Mata;rafaelduarte@example.net;1128,17;example.net
2374;Ravy Fogaça;pteixeira@example.org;5555,48;example.org
2375;Davi Luiz da Mata;pimentalais@example.com;8097,24;example.com
2376;Mariana Fernandes;amoreira@example.org;4770,22;example.org
2377;Ana Luiza Cardoso;aragaoanthony@example.net;2775,36;example.net
2378;Srta. Sabrina da Luz;rezendeanthony@example.com;7297,74;example.com
2379;João Pedro Cavalcante;maria-isis30@example.org;2414,5;example.org
2380;Vitor Pinto;daparecida@example.org;3867,12;example.org
2381;Srta. Bárbara Silva;nascimentojose-pedro@example.org;7911,62;example.org
2382;Guilherme Rios;yda-rosa@example.org;8284,3;example.org
2383;Nicolas da Rocha;pcardoso@example.org;3554,8;example.org
2384;Cauê Pastor;dcorreia@example.org;3299,96;example.org
2385;Maria Flor Garcia;afernandes@example.org;5509,48;example.org
2386;Bárbara Fernandes;calebe53@example.com;1210,83;example.com
2387;Ágatha Ferreira;tteixeira@example.org;1700,97;example.org
2388;Liam Souza;fernandesalana@example.org;2623,52;example.org
2389;Raul Pastor;da-motabenicio@example.com;2524,41;example.com
2390;Evelyn Teixeira;ycostela@example.com;8224,93;example.com
2391;Gabrielly Novais;barrosstephany@example.com;3814,56;example.com
2392;Anthony Mendonça;mpeixoto@example.com;5305,17;example.com
2393;Maria Vitória Macedo;gnogueira@example.com;1948,96;example.com
2394;Luiz Otávio Albuquerque;maria-vitoriacarvalho@example.com;4103,01;example.com
2395;Maria Cecília Sousa;maria-isiscosta@example.com;8597,37;example.com
2396;Luísa das Neves;xcasa-grande@example.net;1275,59;example.net
2397;Maria Julia Rezende;gcirino@example.org;9788,62;example.org
2398;Ana Sophia Cunha;wporto@example.com;4481,86;example.com
2399;Srta. Julia Gomes;heloisa16@example.net;9680,83;example.net
2400;Arthur Rocha;thiago70@example.org;6354,88;example.org
2401;Maria Isis da Costa;riosrafaela@example.net;1341,66;example.net
2402;Ravy Barros;hellenafonseca@example.com;6200,64;example.com
2403;Gustavo Albuquerque;campostheo@example.com;8329,01;example.com
2404;Dra. Lorena Casa Grande;maria-helenada-mata@example.org;4315,37;example.org
2405;Joaquim Monteiro;vitor-gabrielgomes@example.net;9399,53;example.net
2406;Dr. Mateus Aragão;ssilva@example.com;9605,24;example.com
2407;Cauã Sousa;sampaiojoaquim@example.net;1374,28;example.net
2408;Brenda Vasconcelos;esthergomes@example.org;7972,4;example.org
2409;Benício Farias;vieirayago@example.org;8189,79;example.org
2410;Dr. José Pedro Vasconcelos;theoalbuquerque@example.org;2529,37;example.org
2411;Hellena Cardoso;arthur-gabriel96@example.com;8094,89;example.com
2412;Lucas Gabriel Rocha;maria-juliasousa@example.net;9299,19;example.net
2413;Fernando Souza;gabriel57@example.com;3311,0;example.com
2414;Thales Nascimento;lopesjoana@example.net;8754,87;example.net
2415;Sr. Davi Duarte;ibrito@example.net;8484,47;example.net
2416;Sr. Gustavo Henrique Sales;macedoyago@example.org;2255,03;example.org
2417;Henrique Correia;nda-conceicao@example.org;4601,46;example.org
2418;Maria Eduarda da Cruz;gael-henriqueleao@example.org;6892,12;example.org
2419;Danilo Pinto;kaique54@example.net;7187,04;example.net
2420;Paulo Porto;vitor-hugonascimento@example.com;8066,24;example.com
2421;Alana da Conceição;pereiraravy@example.org;6203,69;example.org
2422;Isaque Novaes;flopes@example.com;7773,26;example.com
2423;Nicole Costela;sampaiomaria-flor@example.org;4476,78;example.org
2424;Dr. Arthur Miguel Mendes;silvabryan@example.com;4233,03;example.com
2425;Noah Sampaio;zda-mota@example.com;9918,63;example.com
2426;Luísa Rodrigues;brunojesus@example.org;8475,51;example.org
2427;Dra. Sara Vargas;costelaluigi@example.net;9745,82;example.net
2428;Pietra Silva;fonsecajuliana@example.org;1173,94;example.org
2429;Ian Brito;joao-guilhermeda-mata@example.org;2864,0;example.org
2430;Anna Liz Lopes;iteixeira@example.net;9692,25;example.net
2431;Vitor Aragão;cfernandes@example.org;4434,68;example.org
2432;Dra. Lorena Moreira;lunnada-paz@example.net;3193,03;example.net
2433;Josué Caldeira;da-cruzstephany@example.org;5855,69;example.org
2434;Raul Castro;juliavargas@example.com;6793,78;example.com
2435;Srta. Sarah Cardoso;mcampos@example.net;2892,62;example.net
2436;Alícia da Cunha;da-rosanicolas@example.com;8448,2;example.com
2437;Dra. Heloisa Vargas;kamilly31@example.org;1942,82;example.org
2438;Fernando Vasconcelos;da-cruzana-julia@example.net;4227,75;example.net
2439;Evelyn Marques;taraujo@example.net;7741,3;example.net
2440;Dom Albuquerque;alexandre39@example.net;5476,38;example.net
2441;Kamilly Marques;cavalcantidavi-lucca@example.com;1467,8;example.com
2442;Isadora Andrade;araujomarcela@example.org;2860,2;example.org
2443;Sarah Novaes;ana-cecilia88@example.net;1587,13;example.net
2444;Sophie Machado;laura51@example.com;4183,31;example.com
2445;Mariana da Conceição;gabrielly69@example.com;3429,66;example.com
2446;Liam Moura;osilva@example.com;1524,24;example.com
2447;Benjamin Albuquerque;oliveiraluiz-gustavo@example.org;8595,34;example.org
2448;Renan Viana;maria-clara18@example.com;1899,75;example.com
2449;Luiz Gustavo Lima;larissanovais@example.org;7825,15;example.org
2450;Sofia da Mota;thales09@example.net;7166,0;example.net
2451;Mirella Fernandes;heloisaguerra@example.com;8673,15;example.com
2452;Alexia Sá;renan15@example.net;9253,55;example.net
2453;Ayla Ribeiro;brocha@example.org;6625,09;example.org
2454;Arthur Gabriel da Cruz;caio75@example.org;2368,57;example.org
2455;Dom Ribeiro;camarazoe@example.org;8991,84;example.org
2456;Vicente Porto;luiz-miguelfarias@example.org;4219,95;example.org
2457;Dr. Levi Andrade;thomas74@example.com;2858,09;example.com
2458;Maria Fernanda Farias;marianaviana@example.net;6229,81;example.net
2459;Henrique Pereira;costelagustavo-henrique@example.org;5866,91;example.org
2460;Manuella Novais;cirinoandre@example.org;7031,13;example.org
2461;Sr. Renan Camargo;ibrito@example.org;1228,84;example.org
2462;Ana Julia Azevedo;albuquerquevitor-hugo@example.org;1406,66;example.org
2463;Gabriel Borges;melobruno@example.net;8134,58;example.net
2464;Bianca da Rosa;xabreu@example.com;9585,19;example.com
2465;Benicio Cardoso;wfonseca@example.net;5194,78;example.net
2466;Ana Liz Sousa;cfonseca@example.org;6326,96;example.org
2467;Enzo Ramos;fda-cruz@example.org;3519,12;example.org
2468;Dra. Julia Novais;rteixeira@example.com;7845,78;example.com
2469;Lucca Leão;elisaporto@example.net;6573,94;example.net
2470;Sabrina Martins;renanda-rosa@example.net;7951,73;example.net
2471;Théo Pastor;gomesmirella@example.org;6926,88;example.org
2472;Luna Gomes;vduarte@example.net;5040,44;example.net
2473;Ester Siqueira;rsa@example.net;3493,55;example.net
2474;Enzo Gabriel Gomes;pedro-miguel41@example.org;5978,05;example.org
2475;Rafaela Novais;yasminrocha@example.org;4014,45;example.org
